transaction_id,user_id,date,amount,merchant_category,description
3eeb9aea-ff03-4417-880d-7f5bc6978837,user_073,2023-07-08,121.99,entertainment,sintetiza entregables de misión crítica
12c27755-c835-49d4-b024-72fa2a8fe94a,user_082,2023-03-18,111.14,shopping,optimiza métricas llave en mano
16727a91-4fbb-4e9d-a5ea-ba22dfb9974b,user_070,2023-09-18,59.3,transport,Uber ride
fbc8c68e-a8f2-4a1e-980e-516ca0ea9587,user_041,2023-03-15,115.41,food,transiciona redes punto-com
e888320f-ccb4-4d77-a91b-c9b6e8a271e1,user_029,2023-05-29,6.06,shopping,cultiva comercio electrónico integrado
ce0cad21-93a6-472b-86e4-c8a82eba9ccf,user_068,2023-11-22,115.93,travel,crea marca communidades integrado
ebf86aa9-ff85-4a0e-bd44-90773f71b7d5,user_062,2023-08-30,89.93,transport,Subway fare
56219140-d0b3-409a-90c5-f6b761427e02,user_078,2023-01-26,27.54,shopping,escala ancho de banda personalizado
2dd4df22-8764-462e-89f1-bafa56e84d44,user_086,2023-12-07,133.38,entertainment,sintetiza servicios web transparentes
52a2155b-c833-4841-9e5e-a4f5602c622b,user_001,2023-12-26,546.8,travel,utiliza tecnologías lo último
e12753f0-560e-428d-a3cd-02d91ebf75d6,user_064,2023-12-31,71.47,entertainment,sinergiza arquitecturas extensibles
7f2339f8-395d-4caa-bf8f-d63faf0e7e0c,user_052,2023-02-13,125.92,supermarket,Purchase at Malave-Serna S.A. de C.V.
a3f67781-db00-4aa1-a98e-530d92f6095c,user_090,2023-08-30,17.4,transport,Train ticket
62c59395-577b-4966-9b80-21cf74799368,user_062,2023-09-21,171.03,health,maneja modelos ubicuas
3042140e-822b-495a-be19-9cba400331d7,user_031,2023-09-15,88.61,entertainment,abraza marcados virales
d45fdfe3-5c50-4cde-b370-1332b931bebc,user_035,2023-10-30,167.57,supermarket,"Purchase at Club Patiño, Villarreal y Enríquez"
2159b184-70bc-4eef-b64d-6ded7b5baa80,user_056,2023-11-05,186.56,supermarket,"Purchase at Corporacin Meraz, Aguirre y Mercado"
0b986d30-8480-406e-93f1-da91c5fd252d,user_094,2023-05-05,54.92,shopping,extiende communidades punto-com
0bc6eadb-e619-48d6-bf64-85b8042a30b0,user_057,2023-05-21,16.35,shopping,utiliza metodologías intuitivas
f537bade-4d70-4a02-8763-d0197d32f3a6,user_029,2023-08-21,85.64,supermarket,"Purchase at Club Cantú, Aponte y Díaz"
763b7a8e-bca3-4a6c-803e-dccea2377217,user_022,2023-08-09,79.2,transport,Uber ride
42f5931d-ffa4-44ba-9f51-598f6f4173ea,user_047,2023-08-20,78.82,supermarket,Purchase at Alva-Castañeda
4f171045-e8fe-4038-a633-a322defb25f3,user_049,2023-04-13,276.62,health,incentiva relaciones intuitivas
4651e527-d80d-4488-949f-6618e89ab65b,user_012,2023-11-04,8.39,food,reinventa esquemas integrado
8cb99c18-7f2a-4903-8d22-d9f3fc734de5,user_015,2023-06-30,15.77,food,crea marca nichos de siguiente generación
62e70ca5-9412-44f5-98b8-cb6d90d2be6b,user_048,2023-05-18,121.86,shopping,transiciona usuarios extensibles
dd91c452-5496-4af4-a8f1-fd0f0ee2d620,user_020,2023-04-27,185.22,supermarket,"Purchase at Corporacin Soria, Valverde y Domínguez"
c46f1a5b-e0f1-45f4-9da1-fa11bb017513,user_081,2023-05-31,310.25,health,extiende sistemas llave en mano
8551862f-e8ec-44b4-bf45-3cfe0b802a3d,user_087,2023-08-07,104.58,entertainment,revoluciona nichos estratégicas
619b6968-1016-4f66-b400-3cd05df5bfc0,user_053,2023-03-09,14.26,transport,Subway fare
54e5123f-fa9d-4a82-a318-ca9b1ff631b5,user_004,2023-01-27,145.67,supermarket,"Purchase at Industrias Quezada, Frías y Acuña"
